ID_MARK,Марка,Марка кириллица,Популярная марка,Страна,Год марки от,Год марки до,MODEL_ID,Модель,Модель кириллица,Класс,Год модели от,Год модели до
ALPINA,Alpina,Альпина,0,Германия,1978,2025,ALPINA_ROADSTER,Roadster,родстер,D,1990,2005
ALPINA,Alpina,Альпина,0,Германия,1978,2025,ALPINA_XB7,XB7,ИксБ7,D,2020,2025
ALPINA,Alpina,Альпина,0,Германия,1978,2025,ALPINA_XD3,XD3,хд3,D,2012,2025
ALPINA,Alpina,Альпина,0,Германия,1978,2025,ALPINA_XD4,XD4,хд4,D,2018,2025
ALPINE,Alpine,Альпин,0,Франция,1961,2025,ALPINE_A110,A110,а110,S,1961,2025
ALPINE,Alpine,Альпин,0,Франция,1961,2025,ALPINE_A290,A290,А290,S,2024,2025
ALPINE,Alpine,Альпин,0,Франция,1961,2025,ALPINE_A310,A310,а310,S,1971,1985
ALPINE,Alpine,Альпин,0,Франция,1961,2025,ALPINE_A390,A390,А390,S,2025,2025
ALPINE,Alpine,Альпин,0,Франция,1961,2025,ALPINE_A610,A610,а610,S,1991,1995
ALPINE,Alpine,Альпин,0,Франция,1961,2025,ALPINE_GTA,GTA,гта,S,1985,1990
AMBERAUTO,Амберавто,Амберавто,0,Россия,2023,2025,AMBERAUTO_A5,А5,А5,D,2023,2025
AMBERTRUCK,Ambertruck,Амбертрак,0,Россия,2024,2025,AMBERTRUCK_WORK,Work,Ворк,J,2024,2025
AMC,AMC,АМС,0,Северная Америка,1961,1987,AMC_EAGLE,Eagle,Игл,C,1979,1987
AMC,AMC,АМС,0,Северная Америка,1961,1987,AMC_GREMLIN,Gremlin,Гремлин,C,1970,1978
AMC,AMC,АМС,0,Северная Америка,1961,1987,AMC_HORNET,Hornet,Хорнет,C,1974,1975
AMC,AMC,АМС,0,Северная Америка,1961,1987,AMC_MATADOR,Matador,Матадор,C,1974,1978
AMC,AMC,АМС,0,Северная Америка,1961,1987,AMC_RAMBLER_AMBASSADOR,Rambler Ambassador,Рамблер Амбассадор,C,1965,1972
AMC,AMC,АМС,0,Северная Америка,1961,1987,AMC_RAMBLER_CLASSIC,Rambler Classic,Рамблер Классик,C,1961,1966
AM_GENERAL,AM General,АМ Дженерал,0,США,1984,2006,AM_GENERAL_HUMVEE,HMMWV (Humvee),Хамви,J,1984,2006
APAL,Apal,Апал,0,Россия,2018,2020,APAL_21541,21541 Stalker,21541 Сталкер,J,2018,2020
ARCFOX,Arcfox,Аркфокс,0,Китай,2020,2025,ARCFOX_ALPHA_S,Alpha S,Альфа С,E,2021,2025
ARCFOX,Arcfox,Аркфокс,0,Китай,2020,2025,ARCFOX_ALPHA_S5,Alpha S5,Альфа С5,E,2024,2025
ARCFOX,Arcfox,Аркфокс,0,Китай,2020,2025,ARCFOX_ALPHA_T,Alpha T,Альфа Т,E,2020,2025
ARCFOX,Arcfox,Аркфокс,0,Китай,2020,2025,ARCFOX_KAOLA,Kaola,Каола,E,2023,2025
ARCFOX,Arcfox,Аркфокс,0,Китай,2020,2025,ARCFOX_T1,T1,Т1,C,2025,2025
ARIEL,Ariel,Ариэль,0,Великобритания,1996,2025,ARIEL_ATOM,Atom,Атом,S,1996,2025
ARIEL,Ariel,Ариэль,0,Великобритания,1996,2025,ARIEL_NOMAD,Nomad,Номад,S,2015,2025
ARO,Aro,Аро,0,Румыния,1972,2006,ARO_10,10,10,J,1984,2006
ARO,Aro,Аро,0,Румыния,1972,2006,ARO_24,24,24,J,1972,2006
ASIA,Asia,Эйша,0,Южная Корея,1987,2003,ASIA_RETONA,Retona,Ретона,J,1998,2003
ASIA,Asia,Эйша,0,Южная Корея,1987,2003,ASIA_ROCSTA,Rocsta,Рокста,J,1990,1998
ASIA,Asia,Эйша,0,Южная Корея,1987,2003,ASIA_TOPIC,Topic,Топик,J,1987,1999
ASIA,Asia,Эйша,0,Южная Корея,1987,2003,ASIA_TOWNER,Towner,таунер,J,1992,1999
ASTON_MARTIN,Aston Martin,Астон Мартин,0,Великобритания,1963,2025,ASTON_MARTIN_BULLDOG,Bulldog,бульдог,S,1980,1982
ASTON_MARTIN,Aston Martin,Астон Мартин,0,Великобритания,1963,2025,ASTON_MARTIN_CYGNET,Cygnet,сигнет,S,2011,2013
ASTON_MARTIN,Aston Martin,Астон Мартин,0,Великобритания,1963,2025,ASTON_MARTIN_DB11,DB11,дб11,S,2016,2023
ASTON_MARTIN,Aston Martin,Астон Мартин,0,Великобритания,1963,2025,ASTON_MARTIN_DB12,DB12,ДБ12,S,2023,2025
ASTON_MARTIN,Aston Martin,Астон Мартин,0,Великобритания,1963,2025,ASTON_MARTIN_DB5,DB5,дб5,S,1963,1965
ASTON_MARTIN,Aston Martin,Астон Мартин,0,Великобритания,1963,2025,ASTON_MARTIN_DB6,DB6,дб6,S,1965,1970
ASTON_MARTIN,Aston Martin,Астон Мартин,0,Великобритания,1963,2025,ASTON_MARTIN_DB7,DB7,дб7,S,1994,2003
ASTON_MARTIN,Aston Martin,Астон Мартин,0,Великобритания,1963,2025,ASTON_MARTIN_DB9,DB9,дб9,S,2003,2016
ASTON_MARTIN,Aston Martin,Астон Мартин,0,Великобритания,1963,2025,ASTON_MARTIN_DBS,DBS,дбс,S,1967,2024
